X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-40.722094,-6.19417499999997,1100,PCT18,CE,,lentico,12,COGERH,-6.194175,-40.722094,Açude Pacoti,2017,24,"79975,00","73,40","83,70","3,05","9,33"
-42.62531,-15.35558,1101,PD002,MG,,lotico,2,IGAM,-15.35558,-42.62531,Rio do Cedro,2017,6,"61,50","58,70","65,20","2,99","8,94"
-42.17214,-15.7029199999999,1102,PD003,MG,,lotico,2,IGAM,-15.70292,-42.17214,Rio Pardo (PA1),2017,6,"76,43","70,10","81,50","5,19","26,95"
-41.45861,-15.74364,1103,PD004,MG,,lotico,2,IGAM,-15.74364,-41.45861,Rio Mosquito (PA1),2017,2,"77,20","77,20","77,20","0,00","0,00"
-41.2352799999999,-15.5113899999999,1104,PD005,MG,,lotico,2,IGAM,-15.51139,-41.23528,Rio Pardo (PA1),2017,6,"67,63","59,60","77,70","8,25","68,00"
-40.55,-14.5099999999999,1105,PD006,MG,,lotico,2,IGAM,-14.51,-40.55,Rio Pardo (PA1),2017,6,"76,20","71,10","80,50","4,25","18,06"
-41.99,-14.6799999999999,1106,PD007,MG,,lotico,2,IGAM,-14.68,-41.99,Rio São João do Paraíso,2017,6,"64,90","57,50","68,70","5,73","32,86"
-40.17078,-17.85572,1107,PE001,MG,,lotico,2,IGAM,-17.85572,-40.17078,Rio Pau Alto,2017,6,"36,67","31,60","44,40","6,09","37,03"
-39.2485569999999,-3.81415899999996,1108,PEB11,CE,,lentico,12,COGERH,-3.814159,-39.248557,Informação não disponível,2017,8,"73375,00","69,40","77,20","3,05","9,33"
-57.725694,-10.8233059999999,1109,PEI141,MT,,lotico,12,SEMA,-10.823306,-57.725694,Rio dos Peixes,2017,4,"64,80","54,70","74,90","11,66","136,01"
-38.74461,-3.96835199999992,1110,PEN01,CE,,lentico,12,COGERH,-3.968352,-38.74461,Informação não disponível,2017,6,"83,27","79,40","86,20","3,13","9,77"
-38.9619999999999,-4.44414999999998,1111,PES01,CE,,lotico,12,COGERH,-4.44415,-38962,Pesqueiro,2017,6,"61,47","44,90","73,20","13,20","174,19"
-39.2346679999999,-3.84455099999997,1112,PET01,CE,,lentico,12,COGERH,-3.844551,-39.234668,Açude Pentecoste,2017,8,"62,45","41,60","73,80","13,22","174,73"
-36.679884,-6.71511499999997,1113,PIA04,RN,,lentico,12,IGARN,-6.715115,-36.679884,Açude Caldeirão de Parelhas,2017,2,"64,80","64,80","64,80","0,00","0,00"
-36.9666999999999,-5.68329999999997,1114,PIA13,RN,,lentico,12,IGARN,-5.6833,-36.9667,Açude Mendubim,2017,2,"87,70","87,70","87,70","0,00","0,00"
-36.8333,-5.61669999999998,1115,PIA16,RN,,lotico,12,IGARN,-5.6167,-36.8333,Açude Pataxós,2017,2,"90,80","90,80","90,80","0,00","0,00"
-36.7506959999999,-5.17527799999993,1116,PIA18,RN,,lotico,12,IGARN,-5.175278,-36.750696,Riacho dos Cavalos,2017,2,"34,60","34,60","34,60","0,00","0,00"
-37.1999999999999,-6.64999999999998,1117,PIA20,RN,,lentico,12,IGARN,-6.65,-37.2,Açude Santo Antônio,2017,2,"72,40","72,40","72,40","0,00","0,00"
-36.6299999999999,-6.68999999999994,1118,PIA23,RN,,lentico,12,IGARN,-6.69,-36.63,Boqueirão de Parelhas,2017,2,"75,00","75,00","75,00","0,00","0,00"
-36.4743329999999,-5.57399999999996,1119,PIA26,RN,,lentico,12,IGARN,-5574,-36.474333,Açude Boqueirão de Angicos,2017,2,"82,30","82,30","82,30","0,00","0,00"
-36.7232999999999,-5.25719999999995,1120,PIA29,RN,,lotico,12,IGARN,-5.2572,-36.7233,Rio Piranhas-Açu,2017,2,"66,50","66,50","66,50","0,00","0,00"
