X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-37.95115,-12.44091,1306,RCNIMB900,BA,,lotico,12,INGÁ,-12.44091,-37.95115,Rio Imbassaí,2017,8,80025,70.8,86,6.60578750577316,43.6364285714288
-37.9599699999999,-12.4960799999999,1307,RCNIMB950,BA,,lotico,12,INGÁ,-12.49608,-37.95997,Rio Imbassaí,2017,8,69075,63.9,81.4,7.63913794687784,58.3564285714289
-38.528333,-12.7541939999999,1308,RCNIMR001,BA,,lotico,12,INEMA,-12.754194,-38.528333,Ilha de Maré,2017,4,36.9,26,47.8,12.5862358683338,158.413333333333
-38.51631,-12.7809999999999,1309,RCNIMR002,BA,,lotico,12,INEMA,-12781,-38.51631,Ipitanga,2017,4,33.6,29.1,38.1,5.19615242270663,27
-38.381361,-12.8301939999999,1310,RCNIPT500,BA,,lotico,12,INGÁ,-12.830194,-38.381361,Rio Ipitanga,2017,8,65.85,55.6,74,7.05468436066229,49.7685714285731
-38.320056,-12.865833,1311,RCNIPT600,BA,,lotico,12,INGÁ,-12.865833,-38.320056,Rio Ipitanga,2017,8,25.85,18.8,33.8,6.27489328309936,39.3742857142854
-38.759556,-12.379083,1312,RCNJCP025,BA,,lotico,12,INGÁ,-12.379083,-38.759556,Rio Jacuípe,2017,8,59475,44.8,67.2,9.38733949834253,88.1221428571418
-38.673333,-12.453611,1313,RCNJCP060,BA,,lotico,12,INGÁ,-12.453611,-38.673333,Rio Jacuípe,2017,4,49.85,47.8,51.9,2.3671361036773,5.60333333333256
-38.507583,-12.5256939999999,1314,RCNJCP090,BA,,lotico,12,INGÁ,-12.525694,-38.507583,Rio Jacuípe,2017,6,56.9333333333333,38.1,66.9,14.5965292678317,213.058666666666
-38.4357219999999,-12.4766109999999,1315,RCNJCP130,BA,,lotico,12,INGÁ,-12.476611,-38.435722,Rio Jacuípe,2017,6,50.4,45.4,55.4,4.47213595499963,20.0000000000005
